sentimento;termo;score_tfidf
positivo;hospital;1.6440074506198825
positivo;atendimento;1.6075540005021267
positivo;equipe;1.4913473506382875
positivo;na;1.4580273182363856
positivo;em;1.3075777838770595
positivo;profissionais;1.250219160851517
positivo;huol;1.1410955087992924
positivo;medicos;1.0
positivo;rn;0.7993408382248958
positivo;mesmo;0.7601495451333123
positivo;minha;0.7601495451333123
positivo;medica;0.7071067811865476
positivo;residencia;0.7071067811865476
positivo;neste;0.6851636080432548
positivo;no;0.5748342036817305
negativo;no;1.2681724048674619
negativo;mais;1.0
negativo;de;0.929515733725619
negativo;agendamento;0.7732623667832087
negativo;pronto;0.7732623667832087
negativo;experiencia;0.6117125098631682
negativo;leitos;0.6117125098631682
negativo;consulta;0.5218234880251023
negativo;horas;0.5218234880251023
negativo;marcada;0.5218234880251023
negativo;da;0.4472135954999579
negativo;do;0.4472135954999579
negativo;gostei;0.4472135954999579
negativo;nao;0.4472135954999579
negativo;quarto;0.4472135954999579
neutro;foi;1.2433016475264762
neutro;de;1.1827705719501265
neutro;precisa;1.1827705719501265
neutro;preparada;1.0
neutro;nem;0.894427190999916
neutro;na;0.848748075186905
neutro;reformar;0.7664298449085388
neutro;resultado;0.7664298449085388
neutro;adicionais;0.7071067811865475
neutro;sem;0.7071067811865475
neutro;publico;0.6448594488714666
neutro;meu;0.5419477406385818
neutro;pediatria;0.5419477406385818
neutro;medico;0.4707838068268843
neutro;normal;0.447213595499958
